"ITTER107","Territorio","TIPO_DATO29","Variabile","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",326542,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","243","fabbricazione di altri prodotti della prima trasformazione dell'acciaio","2020","2020",371885,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",833813,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","245","fonderie","2020","2020",435746,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",1383918,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",720629,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",837788,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",1598659,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",385176,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",61633,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",666463,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",4464036,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",13222719,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","05","estrazione di carbone (esclusa torba)","2020","2020",0,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",31576862,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","24","metallurgia","2020","2020",44349818,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",52630088,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",264568846,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",43346848,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",6530194,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",28907652,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",12687221,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","105","industria lattiero-casearia","2020","2020",17766477,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",1866571,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",14252647,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","245","fonderie","2020","2020",3451108,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",9065568,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",6449122,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",4511022,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",6722488,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",2094410,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",245850,,
"IT","Italia","13110","acquisto di beni e servizi (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",2491759,,
"IT","Italia","13310","costi del personale (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",818934,,
"IT","Italia","13310","costi del personale (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",3946950,,
"IT","Italia","13310","costi del personale (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",7210137,,
"IT","Italia","13310","costi del personale (migliaia di euro)","24","metallurgia","2020","2020",4974373,,
"IT","Italia","13310","costi del personale (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",17919412,,
"IT","Italia","13310","costi del personale (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",30741112,,
"IT","Italia","13310","costi del personale (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",17721035,,
"IT","Italia","13310","costi del personale (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",1436963,,
"IT","Italia","13310","costi del personale (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",11014931,,
"IT","Italia","13310","costi del personale (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",4055562,,
"IT","Italia","13310","costi del personale (migliaia di euro)","105","industria lattiero-casearia","2020","2020",1831707,,
"IT","Italia","13310","costi del personale (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","13310","costi del personale (migliaia di euro)","204","fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura, di profumi e cosmetici","2020","2020",1389029,,
"IT","Italia","13310","costi del personale (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",412349,,
"IT","Italia","13310","costi del personale (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",886056,,
"IT","Italia","13310","costi del personale (migliaia di euro)","245","fonderie","2020","2020",891485,,
"IT","Italia","13310","costi del personale (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",2288356,,
"IT","Italia","13310","costi del personale (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",1295087,,
"IT","Italia","13310","costi del personale (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",1378122,,
"IT","Italia","13310","costi del personale (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",1934486,,
"IT","Italia","13310","costi del personale (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",525811,,
"IT","Italia","13310","costi del personale (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",111182,,
"IT","Italia","13310","costi del personale (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",1223676,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",563612,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",3156370,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","05","estrazione di carbone (esclusa torba)","2020","2020",0,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",5132475,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","24","metallurgia","2020","2020",3468934,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",12826526,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",22345357,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",12817862,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",1229362,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",8043886,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",2968732,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","105","industria lattiero-casearia","2020","2020",1332756,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","13320","salari e stipendi (migliaia di euro)","204","fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura, di profumi e cosmetici","2020","2020",978594,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",290278,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",621315,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","245","fonderie","2020","2020",619179,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",1638714,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",906095,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",996902,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",1336141,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",374855,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",81029,,
"IT","Italia","13320","salari e stipendi (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",884558,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",1790295,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",412015,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",2059756,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","24","metallurgia","2020","2020",2266792,,
